id,name,domain,methods,spatial_res,temporal_coverage,variables,frequency,status,doi,institution,size,access_url
tokyo-dd-2020-2100,Tokyo Dynamical Downscaling 2050/2100,Tokyo metro area,D-DS,4 km,2020-2100,Tmax·Tmin·Precip·Wind·SolarRad,Daily,Available,10.5281/zenodo.tokyo-dd-2020,Tokyo Metropolitan University,42 GB,https://zenodo.org/datasets/tokyo-dd-2020
hcmc-pgw-extremes,Ho Chi Minh City Pseudo-Global Warming,Mekong Delta,PGW,1 km,2010-2050,ExtremeRain·Heatwaves·SeaLevel,Event-based,Available,10.5281/zenodo.hcmc-pgw-ext,University of Science Vietnam,18 GB,https://zenodo.org/datasets/hcmc-pgw-extremes
brussels-sd-future,Brussels Statistical-Dynamical 2030s/2050s,Brussels urban region,SD-DS,500 m,2020-2050,Precip·Temperature·RelHumidity·Pressure,Hourly,Available,10.5281/zenodo.brussels-sd-2030,Royal Meteorological Institute Belgium,156 GB,https://zenodo.org/datasets/brussels-sd-future
global-sds-ensemble,Global Statistical Downscaling Ensemble,Worldwide,SDS,25 km,1980-2100,Temperature·Precipitation·Pressure,Monthly,Available,10.1038/sdata.2024.001,Max Planck Institute,2.3 TB,https://zenodo.org/datasets/global-sds-ensemble
urban-lsp-heatisland,Urban Heat Island LSP Downscaling,20+ global cities,LSP-DS,100 m,2015-2050,SurfaceTemp·UrbanCanopyTemp·Radiation,30-min,Available,10.1038/nclimate.2024.001,Indian Institute of Science,780 GB,https://zenodo.org/datasets/urban-lsp-heatisland
ai-seasonal-forecast,AI-Based Seasonal Forecasting,Asia-Pacific,AI-DS,10 km,2020-2050,Precip·Temperature·Extremes· Drought,Seasonal,In Review,preprint,Max Planck Institute,120 GB,https://zenodo.org/datasets/ai-seasonal-forecast
tropical-pgw-monsoon,Tropical Monsoon PGW Dataset,South Asia,PGW,5 km,1961-2050,Monsoon·Extremes·Flooding·Drought,Daily,Available,10.5281/zenodo.tropical-pgw,University of Lagos · University of Tokyo,95 GB,https://zenodo.org/datasets/tropical-pgw-monsoon
alpine-dd-sdsl,Alpine Region Dynamical Downscaling,European Alps,D-DS,2 km,1971-2100,Precip·Snow·Glaciers·Temperature,Daily,Available,10.1175/JCLI-D-23-001,ETH Zurich,340 GB,https://zenodo.org/datasets/alpine-dd-sdsl
agricultural-sds,Agricultural Impact Downscaling,Global croplands,SDS,1 km,2000-2050,Precip·Tmax·Tmin·SolarRad·Drought,Daily,Coming Soon,,CGIAR-CCAFS,pending,https://zenodo.org/datasets/agriculture-sds
coastal-surge-lsp,Coastal Storm Surge & LSP Dataset,Major port cities,LSP-DS,200 m,2010-2100,SeaLevel·WindSpeed·Pressure·Waves,Hourly,Under Curation,10.5281/zenodo.coastal-lsp,Barcelona Supercomputing Center,2.1 TB,https://zenodo.org/datasets/coastal-surge-lsp
fire-weather,Fire Weather Derived Downscaling,Mediterranean · Australia,SD-DS·SDS,500 m,1980-2050,Temperature·RelHumidity·WindSpeed·DroughtIndex,Daily,Available,10.1175/WCAS-D-023-001,Met Office UK,310 GB,https://zenodo.org/datasets/fire-weather
snowpack-alpine,Alpine Snowpack & Wind Downscaling,Hindu Kush-Himalayas,D-DS,1 km,1980-2100,Snow·Wind·Temperature·Precip,Daily,Available,10.1038/nclimate.2024.032,International Centre for Integrated Mountain Development,420 GB,https://zenodo.org/datasets/snowpack-alpine
